team,team_code,group,total_players,GK,DF,MF,FW,head_coach_raw,head_coach_nationality,head_coach,source
Qatar,QAT,B,26,3,9,5,9,LOPETEGUI Julen Julian LOPETEGUI ARGOTE Spain,Spain,Julen LOPETEGUI ARGOTE,squads_48_teams.csv
Saudi Arabia,KSA,H,26,3,10,6,7,DONIS Georgios Georgios DONIS Greece,Greece,Georgios DONIS,squads_48_teams.csv
Scotland,SCO,C,26,3,10,6,7,CLARKE Steve Stephen CLARKE Scotland,Scotland,Steve CLARKE,squads_48_teams.csv
Senegal,SEN,I,26,3,8,7,8,THIAW Pape Pape Bouna THIAW Senegal,Senegal,Pape THIAW,squads_48_teams.csv
South Africa,RSA,A,26,3,10,5,8,BROOS Hugo Hugo Henri BROOS Belgium,Belgium,Hugo BROOS,squads_48_teams.csv
South Korea,KOR,A,26,3,9,11,3,HONG Myungbo Myung Bo HONG Korea Republic,Korea Republic,Myungbo HONG,squads_48_teams.csv
Spain,ESP,H,26,3,8,7,8,DE LA FUENTE Luis Luis DE LA FUENTE CASTILLO Spain,Spain,Luis DE LA FUENTE CASTILLO,squads_48_teams.csv
Sweden,SWE,F,26,3,11,7,5,POTTER Graham Graham Stephen POTTER England,England,Graham POTTER,squads_48_teams.csv
Switzerland,SUI,B,26,3,8,8,7,YAKIN Murat Murat YAKIN Switzerland,Switzerland,Murat YAKIN,squads_48_teams.csv
Tunisia,TUN,F,26,3,10,8,5,LAMOUCHI Sabri Sabri LAMOUCHI France,France,Sabri LAMOUCHI,squads_48_teams.csv
Turkey,TUR,D,26,3,9,5,9,MONTELLA Vincenzo Vincenzo MONTELLA Italy,Italy,Vincenzo MONTELLA,squads_48_teams.csv
USA,USA,D,26,3,10,6,7,POCHETTINO Mauricio Mauricio Roberto POCHETTINO TROSSERO Argentina,Argentina,Mauricio POCHETTINO TROSSERO,squads_48_teams.csv
Uruguay,URU,H,26,3,7,11,5,BIELSA Marcelo Marcelo Alberto BIELSA Argentina,Argentina,Marcelo BIELSA,squads_48_teams.csv
Uzbekistan,UZB,K,26,3,10,10,3,CANNAVARO Fabio Fabio CANNAVARO Italy,Italy,Fabio CANNAVARO,squads_48_teams.csv
