player_id,player,team,club,primary_position,secondary_positions,preferred_foot,weak_foot_note,role_tags,role_family,same_foot_side,inverted_role_possible,two_footed_score,position_flexibility_score,profile_confidence,source_urls,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
HT-DJJ,Danley Jean Jacques,Haiti,Le Havre,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/danley-jean-jacques/profil/spieler/855168,transfermarkt+fifa_squad,https://www.transfermarkt.com/danley-jean-jacques/profil/spieler/855168,false,0.82,2026-06-19,2026-06-19
HT-DEL,Hannes Delcroix,Haiti,Burnley,CB,LB,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/hannes-delcroix/profil/spieler/346314,transfermarkt+fifa_squad,https://www.transfermarkt.com/hannes-delcroix/profil/spieler/346314,false,0.82,2026-06-19,2026-06-19
HT-ARC,Carlens Arcus,Haiti,Auxerre,RB,RM,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/carlens-arcus/profil/spieler/344558,transfermarkt+fifa_squad,https://www.transfermarkt.com/carlens-arcus/profil/spieler/344558,false,0.82,2026-06-19,2026-06-19
HT-PLA,Johny Placide,Haiti,Valenciennes,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/johny-placide/profil/spieler/98498,transfermarkt+fifa_squad,https://www.transfermarkt.com/johny-placide/profil/spieler/98498,false,0.82,2026-06-19,2026-06-19
HT-ADE,Ricardo Adé,Haiti,Gent,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/ricardo-ade/profil/spieler/405565,transfermarkt+fifa_squad,https://www.transfermarkt.com/ricardo-ade/profil/spieler/405565,false,0.82,2026-06-19,2026-06-19
HT-EXP,Martin Expérience,Haiti,Pau,LB,LM,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/martin-experience/profil/spieler/568066,transfermarkt+fifa_squad,https://www.transfermarkt.com/martin-experience/profil/spieler/568066,false,0.82,2026-06-19,2026-06-19
HT-LOU,Don Deedson Louicius,Haiti,Veres,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.65,https://www.transfermarkt.com/don-deedson-louicius/profil/spieler/568067,transfermarkt+fifa_squad,https://www.transfermarkt.com/don-deedson-louicius/profil/spieler/568067,true,0.65,2026-06-19,2026-06-19
HT-CAS,Josué Casimir,Haiti,Le Havre,LW,RW,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.62,https://www.transfermarkt.com/josue-casimir/profil/spieler/633653,transfermarkt+fifa_squad,https://www.transfermarkt.com/josue-casimir/profil/spieler/633653,true,0.62,2026-06-19,2026-06-19
SC-GUN,Angus Gunn,Scotland,Norwich,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/angus-gunn/profil/spieler/126665,transfermarkt+fifa_squad,https://www.transfermarkt.com/angus-gunn/profil/spieler/126665,false,0.82,2026-06-19,2026-06-19
SC-HAN,Grant Hanley,Scotland,Birmingham,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/grant-hanley/profil/spieler/124274,transfermarkt+fifa_squad,https://www.transfermarkt.com/grant-hanley/profil/spieler/124274,false,0.82,2026-06-19,2026-06-19
SC-HIC,Aaron Hickey,Scotland,Brentford,RB,LB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,transfermarkt+fifa_squad,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,false,0.82,2026-06-19,2026-06-19
SC-MCT,Scott McTominay,Scotland,Napoli,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315132,transfermarkt+fifa_squad,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315132,false,0.82,2026-06-19,2026-06-19
SC-ROB,Andrew Robertson,Scotland,Liverpool,LB,LM,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,transfermarkt+fifa_squad,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,false,0.82,2026-06-19,2026-06-19
SC-DYK,Ryan Dykes,Scotland,Leeds,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/lyndon-dykes/profil/spieler/192765,transfermarkt+fifa_squad,https://www.transfermarkt.com/lyndon-dykes/profil/spieler/192765,false,0.82,2026-06-19,2026-06-19
SC-MCG,Callum McGregor,Scotland,Celtic,CM,DM,left,,中场连接点;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/callum-mcgregor/profil/spieler/128912,transfermarkt+fifa_squad,https://www.transfermarkt.com/callum-mcgregor/profil/spieler/128912,false,0.82,2026-06-19,2026-06-19
SC-ARM,Kieran Tierney,Scotland,Celtic,LB,CB,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,transfermarkt+fifa_squad,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,false,0.82,2026-06-19,2026-06-19
SC-ADA,Che Adams,Scotland,Torino,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/che-adams/profil/spieler/346314,transfermarkt+fifa_squad,https://www.transfermarkt.com/che-adams/profil/spieler/346314,false,0.82,2026-06-19,2026-06-19
SC-GIL,Billy Gilmour,Scotland,Napoli,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,transfermarkt+fifa_squad,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,false,0.82,2026-06-19,2026-06-19
SC-CHR,Ryan Christie,Scotland,Bournemouth,AM,CM,left,,肋部组织者;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,transfermarkt+fifa_squad,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,false,0.82,2026-06-19,2026-06-19
SC-POR,John McGinn,Scotland,Aston Villa,CM,AM,left,,中场连接点;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,transfermarkt+fifa_squad,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,false,0.82,2026-06-19,2026-06-19
MA-HAK,Achraf Hakimi,Morocco,PSG,RB,RM,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,transfermarkt+fifa_squad,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,false,0.82,2026-06-19,2026-06-19
MA-BRA,Brahim Diaz,Morocco,Real Madrid,RW,AM,left,,边路爆点;左脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/brahim-diaz/profil/spieler/330659,transfermarkt+fifa_squad,https://www.transfermarkt.com/brahim-diaz/profil/spieler/330659,false,0.82,2026-06-19,2026-06-19
MA-SAI,Ismael Saibari,Morocco,PSV,AM,CM,right,,肋部组织者;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/ismael-saibari/profil/spieler/709187,transfermarkt+fifa_squad,https://www.transfermarkt.com/ismael-saibari/profil/spieler/709187,false,0.82,2026-06-19,2026-06-19
MA-OUN,Azzedine Ounahi,Morocco,Marseille,CM,AM,left,,中场连接点;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/azzedine-ounahi/profil/spieler/548031,transfermarkt+fifa_squad,https://www.transfermarkt.com/azzedine-ounahi/profil/spieler/548031,false,0.82,2026-06-19,2026-06-19
MA-KHA,Bilal El Khannouss,Morocco,Leicester,AM,CM,left,,肋部组织者;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/709188,transfermarkt+fifa_squad,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/709188,false,0.82,2026-06-19,2026-06-19
MA-BOU,Ayyoub Bouaddi,Morocco,Lille,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/933099,transfermarkt+fifa_squad,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/933099,false,0.82,2026-06-19,2026-06-19
MA-MAZ,Noussair Mazraoui,Morocco,Ajax,LB,RB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456,transfermarkt+fifa_squad,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456,false,0.82,2026-06-19,2026-06-19
MA-RIA,Chadi Riad,Morocco,Betis,CB,,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/chadi-riad/profil/spieler/709189,transfermarkt+fifa_squad,https://www.transfermarkt.com/chadi-riad/profil/spieler/709189,false,0.82,2026-06-19,2026-06-19
MA-DIO,Issa Diop,Morocco,Fulham,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,transfermarkt+fifa_squad,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,false,0.82,2026-06-19,2026-06-19
MA-BOU2,Yassine Bounou,Morocco,Al Hilal,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/yassine-bounou/profil/spieler/126653,transfermarkt+fifa_squad,https://www.transfermarkt.com/yassine-bounou/profil/spieler/126653,false,0.82,2026-06-19,2026-06-19
MA-ELA,Neil El Aynaoui,Morocco,Lens,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.68,https://www.transfermarkt.com/neil-el-aynaui/profil/spieler/709190,transfermarkt+fifa_squad,https://www.transfermarkt.com/neil-el-aynaui/profil/spieler/709190,true,0.68,2026-06-19,2026-06-19
TR-AGU,Arda Guler,Turkey,Real Madrid,AM,RW,left,,肋部组织者;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/arda-guler/profil/spieler/861781,transfermarkt+fifa_squad,https://www.transfermarkt.com/arda-guler/profil/spieler/861781,false,0.82,2026-06-19,2026-06-19
TR-YIL,Kenan Yildiz,Turkey,Juventus,LW,ST,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/709191,transfermarkt+fifa_squad,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/709191,false,0.82,2026-06-19,2026-06-19
TR-AKT,Kerem Akturkoglu,Turkey,Benfica,LW,RW,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/531067,transfermarkt+fifa_squad,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/531067,false,0.82,2026-06-19,2026-06-19
TR-CAL,Hakan Calhanoglu,Turkey,Inter,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126653,transfermarkt+fifa_squad,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126653,false,0.82,2026-06-19,2026-06-19
TR-UNA,Merih Demiral,Turkey,Al-Ahli,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/merih-demiral/profil/spieler/341429,transfermarkt+fifa_squad,https://www.transfermarkt.com/merih-demiral/profil/spieler/341429,false,0.82,2026-06-19,2026-06-19
TR-KOK,Zeki Celik,Turkey,Roma,RB,CB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/zeki-celik/profil/spieler/341430,transfermarkt+fifa_squad,https://www.transfermarkt.com/zeki-celik/profil/spieler/341430,false,0.82,2026-06-19,2026-06-19
TR-ULV,Uğurcan Çakır,Turkey,Trabzonspor,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/ugurcan-cakir/profil/spieler/341436,transfermarkt+fifa_squad,https://www.transfermarkt.com/ugurcan-cakir/profil/spieler/341436,false,0.82,2026-06-19,2026-06-19
TR-YUK,İrfan Can Kahveci,Turkey,Fenerbahce,RW,AM,left,,边路爆点;左脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/irfan-can-kahveci/profil/spieler/341437,transfermarkt+fifa_squad,https://www.transfermarkt.com/irfan-can-kahveci/profil/spieler/341437,false,0.82,2026-06-19,2026-06-19
TR-AYD,Mert Müldür,Turkey,Sassuolo,RB,LB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/mert-muldur/profil/spieler/341438,transfermarkt+fifa_squad,https://www.transfermarkt.com/mert-muldur/profil/spieler/341438,false,0.82,2026-06-19,2026-06-19
TR-BAR,Barış Alper Yılmaz,Turkey,Galatasaray,LW,LB,left,,边路爆点;左脚倾向,wide_attacker,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/baris-alper-yilmaz/profil/spieler/709195,transfermarkt+fifa_squad,https://www.transfermarkt.com/baris-alper-yilmaz/profil/spieler/709195,false,0.82,2026-06-19,2026-06-19
TR-SAM,Samet Akaydin,Turkey,Panathinaikos,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/samet-akaydin/profil/spieler/709196,transfermarkt+fifa_squad,https://www.transfermarkt.com/samet-akaydin/profil/spieler/709196,false,0.82,2026-06-19,2026-06-19
TR-OKA,Orkun Kökçü,Turkey,Benfica,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/341439,transfermarkt+fifa_squad,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/341439,false,0.82,2026-06-19,2026-06-19
PY-ENC,Julio Enciso,Paraguay,Brighton,AM,ST,right,,肋部组织者;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/julio-enciso/profil/spieler/660746,transfermarkt+fifa_squad,https://www.transfermarkt.com/julio-enciso/profil/spieler/660746,false,0.82,2026-06-19,2026-06-19
PY-ALM,Miguel Almiron,Paraguay,Newcastle,RW,AM,left,,边路爆点;左脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272622,transfermarkt+fifa_squad,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272622,false,0.82,2026-06-19,2026-06-19
PY-GOM,Gustavo Gómez,Paraguay,Palmeiras,CB,,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/126653,transfermarkt+fifa_squad,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/126653,false,0.82,2026-06-19,2026-06-19
PY-ALD,Omar Alderete,Paraguay,Getafe,CB,LB,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/omar-alderete/profil/spieler/341431,transfermarkt+fifa_squad,https://www.transfermarkt.com/omar-alderete/profil/spieler/341431,false,0.82,2026-06-19,2026-06-19
PY-CUB,Andrés Cubas,Paraguay,Vancouver,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/andres-cubas/profil/spieler/341432,transfermarkt+fifa_squad,https://www.transfermarkt.com/andres-cubas/profil/spieler/341432,false,0.82,2026-06-19,2026-06-19
PY-SAN,Antonio Sanabria,Paraguay,Torino,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/antonio-sanabria/profil/spieler/126654,transfermarkt+fifa_squad,https://www.transfermarkt.com/antonio-sanabria/profil/spieler/126654,false,0.82,2026-06-19,2026-06-19
PY-GIL,Orlando Gill,Paraguay,Charlotte,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/orlando-gill/profil/spieler/709197,transfermarkt+fifa_squad,https://www.transfermarkt.com/orlando-gill/profil/spieler/709197,false,0.82,2026-06-19,2026-06-19
PY-CAC,Juan Cáceres,Paraguay,Libertad,RB,RM,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/juan-caceres/profil/spieler/709198,transfermarkt+fifa_squad,https://www.transfermarkt.com/juan-caceres/profil/spieler/709198,false,0.82,2026-06-19,2026-06-19
PY-JAL,Júnior Alonso,Paraguay,Krasnodar,LB,CB,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/junior-alonso/profil/spieler/341441,transfermarkt+fifa_squad,https://www.transfermarkt.com/junior-alonso/profil/spieler/341441,false,0.82,2026-06-19,2026-06-19
PY-DGO,Diego Gómez,Paraguay,Inter Miami,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/diego-gomez/profil/spieler/709199,transfermarkt+fifa_squad,https://www.transfermarkt.com/diego-gomez/profil/spieler/709199,false,0.82,2026-06-19,2026-06-19
PY-BOB,Damián Bobadilla,Paraguay,Santos,CM,DM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/damian-bobadilla/profil/spieler/709200,transfermarkt+fifa_squad,https://www.transfermarkt.com/damian-bobadilla/profil/spieler/709200,false,0.82,2026-06-19,2026-06-19
PY-RAM,Ramón Sosa,Paraguay,Nottingham,LW,RW,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/ramon-sosa/profil/spieler/341442,transfermarkt+fifa_squad,https://www.transfermarkt.com/ramon-sosa/profil/spieler/341442,false,0.82,2026-06-19,2026-06-19
US-PUL,Christian Pulisic,USA,AC Milan,LW,RW,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315853,transfermarkt+fifa_squad,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315853,false,0.82,2026-06-19,2026-06-19
US-BAL,Folarin Balogun,USA,Monaco,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503987,transfermarkt+fifa_squad,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503987,false,0.82,2026-06-19,2026-06-19
US-REY,Giovanni Reyna,USA,Borussia Dortmund,AM,CM,right,,肋部组织者;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504888,transfermarkt+fifa_squad,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504888,false,0.82,2026-06-19,2026-06-19
US-ADA,Tyler Adams,USA,Bournemouth,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/tyler-adams/profil/spieler/332697,transfermarkt+fifa_squad,https://www.transfermarkt.com/tyler-adams/profil/spieler/332697,false,0.82,2026-06-19,2026-06-19
US-MCK,Weston McKennie,USA,Juventus,CM,DM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332698,transfermarkt+fifa_squad,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332698,false,0.82,2026-06-19,2026-06-19
US-ROB,Antonee Robinson,USA,Fulham,LB,LM,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/antonee-robinson/profil/spieler/341433,transfermarkt+fifa_squad,https://www.transfermarkt.com/antonee-robinson/profil/spieler/341433,false,0.82,2026-06-19,2026-06-19
US-REA,Tim Ream,USA,Charlotte,CB,LB,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/tim-ream/profil/spieler/126655,transfermarkt+fifa_squad,https://www.transfermarkt.com/tim-ream/profil/spieler/126655,false,0.82,2026-06-19,2026-06-19
US-RIC,Chris Richards,USA,Crystal Palace,CB,RB,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/chris-richards/profil/spieler/504889,transfermarkt+fifa_squad,https://www.transfermarkt.com/chris-richards/profil/spieler/504889,false,0.82,2026-06-19,2026-06-19
