team,match,goals_for,xg,goals_against,xga,attack_luck,defense_luck,net_luck,luck_label,note
Japan,Netherlands vs Japan,2,0.59,2,0.78,1.41,-1.22,0.19,neutral,possession 60-40; big chances 0-0
Brazil,Brazil vs Morocco,1,1.26,1,1.37,-0.26,0.37,0.11,neutral,possession 51-49; big chances 1-2
Morocco,Brazil vs Morocco,1,1.37,1,1.26,-0.37,0.26,-0.11,neutral,possession 51-49; big chances 1-2
Netherlands,Netherlands vs Japan,2,0.78,2,0.59,1.22,-1.41,-0.19,neutral,possession 60-40; big chances 0-0
DR Congo,Portugal vs DR Congo,1,0.87,1,0.65,0.13,-0.35,-0.22,neutral,possession 75-25; big chances 0-1
Iran,Iran vs New Zealand,2,1.5,2,1.24,0.5,-0.76,-0.26,neutral,kickoff 2026-06-16 01:00 UTC (09:00 UTC+8); possession 48-52; big chances 2-2
Belgium,Belgium vs Egypt,1,1.35,1,1.08,-0.35,0.08,-0.27,neutral,possession 54-46; big chances 2-2
Canada,Canada vs Bosnia and Herzegovina,1,1.23,1,0.96,-0.23,-0.04,-0.27,neutral,possession 61-39; big chances 2-2
Panama,Ghana vs Panama,0,0.75,1,1.31,-0.75,0.31,-0.44,neutral,possession 38-62; big chances 1-2
South Korea,South Korea vs Czechia,2,2.3,1,0.83,-0.3,-0.17,-0.47,neutral,possession 62-38; big chances 4-1
Ecuador,Ivory Coast vs Ecuador,0,1.01,1,1.52,-1.01,0.52,-0.49,neutral,possession 48-52; big chances 2-1
England,England vs Croatia,4,3.2,2,0.7,0.8,-1.3,-0.5,neutral,possession 52-48; big chances 7-2
South Africa,Mexico vs South Africa,0,0.07,2,1.46,-0.07,-0.54,-0.61,neutral,possession 60-40; big chances 2-0
Senegal,France vs Senegal,1,0.53,3,1.79,0.47,-1.21,-0.74,neutral,possession 53-47; big chances 4-2
Jordan,Austria vs Jordan,1,0.46,3,1.69,0.54,-1.31,-0.77,unlucky,possession 63-37; big chances 4-0
Haiti,Haiti vs Scotland,0,1.05,1,1.05,-1.05,0.05,-1.0,unlucky,possession 54-46; big chances 1-2
Uruguay,Saudi Arabia vs Uruguay,1,1.72,1,0.66,-0.72,-0.34,-1.06,unlucky,possession 33-67; big chances 1-2
Iraq,Iraq vs Norway,1,0.8,4,2.52,0.2,-1.48,-1.28,unlucky,possession 39-61; big chances 1-5
Uzbekistan,Colombia vs Uzbekistan,1,1.16,3,1.62,-0.16,-1.38,-1.54,unlucky,possession 62-38; big chances 4-1
Spain,Spain vs Cape Verde,0,2.1,0,0.2,-2.1,0.2,-1.9,unlucky,possession 74-26; big chances 2-1
Algeria,Argentina vs Algeria,0,0.32,3,1.26,-0.32,-1.74,-2.06,unlucky,possession 48-52; big chances 1-0
Paraguay,USA vs Paraguay,1,0.54,4,1.42,0.46,-2.58,-2.12,unlucky,possession 65-35; big chances 4-1
Turkey,Australia vs Turkey,0,1.36,2,1.18,-1.36,-0.82,-2.18,unlucky,possession 28-72; big chances 1-2
Curacao,Germany vs Curacao,1,0.41,7,4.22,0.59,-2.78,-2.19,unlucky,possession 65-35; big chances 6-0
Switzerland,Qatar vs Switzerland,1,3.2,1,0.6,-2.2,-0.4,-2.6,unlucky,possession 32-68; big chances 1-6
Tunisia,Sweden vs Tunisia,1,0.28,5,1.33,0.72,-3.67,-2.95,unlucky,possession 49-51; big chances 4-0
