team,total_roster_players,matched_big5_2024_25,missing,coverage_pct,source,notes
Czechia,26,6,20,0.231,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
DR Congo,26,3,23,0.115,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ecuador,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Egypt,26,2,24,0.077,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
England,26,13,13,0.5,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
France,26,17,9,0.654,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Germany,26,12,14,0.462,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ghana,26,8,18,0.308,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Haiti,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Iran,26,0,26,0.0,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Iraq,26,1,25,0.038,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ivory Coast,26,13,13,0.5,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Japan,26,7,19,0.269,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Jordan,26,0,26,0.0,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Mexico,26,3,23,0.115,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Morocco,26,10,16,0.385,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Netherlands,26,10,16,0.385,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
New Zealand,26,2,24,0.077,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Norway,26,6,20,0.231,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Panama,26,1,25,0.038,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Paraguay,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Portugal,26,12,14,0.462,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Qatar,26,0,26,0.0,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Saudi Arabia,26,1,25,0.038,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Scotland,26,7,19,0.269,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Senegal,26,16,10,0.615,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
South Africa,26,0,26,0.0,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
South Korea,26,3,23,0.115,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Spain,26,13,13,0.5,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Sweden,26,9,17,0.346,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Switzerland,26,11,15,0.423,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Tunisia,26,2,24,0.077,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Turkey,26,5,21,0.192,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
USA,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Uruguay,26,7,19,0.269,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Uzbekistan,26,1,25,0.038,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
