team,total_roster_players,matched_big5_2025_26,missing,coverage_pct,source,notes
Norway,26,13,13,0.5,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Panama,26,2,24,0.077,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Paraguay,26,4,22,0.154,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Portugal,26,17,9,0.654,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Qatar,26,0,26,0.0,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Saudi Arabia,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Scotland,26,10,16,0.385,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Senegal,26,20,6,0.769,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
South Africa,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
South Korea,26,5,21,0.192,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Spain,26,25,1,0.962,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Sweden,26,14,12,0.538,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Switzerland,26,22,4,0.846,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Tunisia,26,7,19,0.269,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Turkey,26,9,17,0.346,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
USA,26,13,13,0.5,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Uruguay,26,9,17,0.346,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Uzbekistan,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
