club_country_code,missing_players,top_clubs,recommended_sources,automation_status,notes
GRE,10,AEL FC (GRE) | AE Ki sia FC (GRE) | Olympiacos FC (GRE) | Atromitos FC (GRE) | PAOK Saloniki (GRE),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CYP,9,Pafos FC (CYP) | AEL Limassol (CYP) | APOEL FC (CYP) | Apollon Limassol (CYP) | Aris Limassol FC (CYP),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
FRA,9,AS Saint-Etienne (FRA) | Montpellier HSC (FRA) | OGC Nice (FRA) | SC Bastia (FRA) | AS Nancy (FRA),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
GER,8,Karlsruher SC (GER) | FC Schalke 04 (GER) | FC Cosmos Koblenz (GER) | FC Bayern München (GER) | Eintracht Frankfurt (GER),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
NZL,8,Auckland FC (NZL) | Wellington Phoenix FC (NZL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
JPN,7,FC Tokyo (JPN) | Kashima Antlers (JPN) | Albirex Niigata (JPN) | FC Machida Zelvia (JPN) | Sanfrecce Hiroshima (JPN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
AUS,7,Melbourne City FC (AUS) | Melbourne Victory FC (AUS) | Sydney FC (AUS) | WS Wanderers FC (AUS) | Newcastle United Jets FC (AUS),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CRO,7,HNK Rijeka (CRO) | GNK Dinamo Zagreb (CRO) | HNK Hajduk Split (CRO) | NK Lokomotiva Zagreb (CRO),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
RUS,7,FC Krasnodar (RUS) | FC Akron Tolyatti (RUS) | FC Spartak Moscow (RUS) | FC Rostov (RUS) | FC Pari Nizhny Novgorod (RUS),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
TUN,6,Espérance De Tunisie (TUN) | Club Africain (TUN) | Étoile Du Sahel (TUN) | US Monastir (TUN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ESP,6,CD Castellón (ESP) | Granada CF (ESP) | Racing Santander (ESP) | FC Barcelona (ESP) | Cultural Leonesa (ESP),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CAN,6,Toronto FC (CAN) | Vancouver Whitecaps FC (CAN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ITA,5,Venezia FC (ITA) | Frosinone (ITA) | UC Sampdoria (ITA),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
WAL,5,Swansea City AFC (WAL) | Wrexham AFC (WAL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
POL,5,Jagiellonia Białystok (POL) | Widzew Łódź (POL) | Pogoń Szczecin (POL) | KS Cracovia (POL) | Lechia Gdańsk (POL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
NOR,5,FK Bodø/Glimt (NOR) | Sarpsborg 08 FF (NOR) | Viking Stavanger (NOR) | Molde FK (NOR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
KOR,5,Jeonbuk Hyundai Motors FC (KOR) | FC Seoul (KOR) | Daejeon Hana Citizen FC (KOR) | Ulsan HD (KOR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
AUT,4,Grazer AK (AUT) | Wolfsberger AC (AUT) | FC Red Bull Salzburg (AUT) | LASK Linz (AUT),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ECU,4,CD Universidad Católica (ECU) | Independiente Del Valle (ECU) | LDU Quito (ECU),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SWE,4,AIK Stockholm (SWE) | Mjällby AIF (SWE) | Malmö FF (SWE) | IFK Norrköping FK (SWE),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ISR,3,Maccabi Haifa FC (ISR) | Maccabi Tel-Aviv FC (ISR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
MAS,3,Selangor FC (MAS) | Terengganu FC (MAS),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
MAR,3,Raja Casablanca (MAR) | RS Berkane (MAR) | ASFAR (MAR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ALG,2,USM Alger (ALG),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SRB,2,FK Crvena Zvezda (SRB),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SVN,2,NK Maribor (SVN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CHI,2,CD Universidad De Concepción (CHI) | CD Cobresal (CHI),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
PAR,2,Cerro Porteño (PAR) | Club Olimpia (PAR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
HUN,1,Györi ETO FC (HUN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
BIH,1,FK Borac Banja Luka (BIH),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ROU,1,FC FCSB (ROU),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
BUL,1,PFC Montana (BUL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
COL,1,Atlético Nacional (COL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ARM,1,FC Noah (ARM),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
IRL,1,St Patrick's Athletic FC (IRL),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
HAI,1,Violette AC (HAI),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
THA,1,Port FC (THA),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
IDN,1,Persib Bandung (IDN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CHN,1,Zhejiang FC (CHN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
URU,1,Club Nacional (URU),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SVK,1,ŠK Slovan Bratislava (SVK),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CRC,1,Deportivo Saprissa (CRC),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
HON,1,CD Marathón (HON),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
PAN,1,CD Plaza Amador (PAN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
