team,team_code,group,player,position,club,source,notes
Australia,AUS,D,Aiden ONEILL,MF,New York City FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Cameron DEVLIN,MF,Heart Of Midlothian FC (SCO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Kai TREWIN,DF,New York City FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Aziz BEHICH,DF,Melbourne City FC (AUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Nestory IRANKUNDA,FW,Watford FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Patrick BEACH,GK,Melbourne City FC (AUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Harry SOUTTAR,DF,Leicester City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Cameron BURGESS,DF,Swansea City AFC (WAL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Nishan VELUPILLAY,FW,Melbourne Victory FC (AUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Paul OKON-ENGSTLER,MF,Sydney FC (AUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Lucas HERRINGTON,DF,Colorado Rapids (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Tete YENGI,FW,FC Machida Zelvia (JPN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Alexander SCHLAGER,GK,FC Red Bull Salzburg (AUT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Marko ARNAUTOVIC,FW,FK Crvena Zvezda (SRB),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Florian GRILLITSCH,MF,SC Braga (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Florian WIEGELE,GK,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Patrick PENTZ,GK,Brøndby IF (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Paul WANNER,MF,PSV Eindhoven (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Michael SVOBODA,DF,Venezia FC (ITA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Austria,AUT,J,Alessandro SCHOEPF,MF,Wolfsberger AC (AUT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Belgium,BEL,G,Zeno DEBAST,DF,Sporting CP (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Belgium,BEL,G,Brandon MECHELE,DF,Club Brugge (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Belgium,BEL,G,Joaquin SEYS,DF,Club Brugge (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Belgium,BEL,G,Hans VANAKEN,MF,Club Brugge (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Belgium,BEL,G,Nicolas RASKIN,MF,Rangers FC (SCO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Nihad MUJAKIC,DF,Gaziantep FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Dennis HADZIKADUNIC,DF,UC Sampdoria (ITA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Benjamin TAHIROVIC,MF,Brøndby IF (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Amar DEDIC,DF,SL Ben ca (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Armin GIGOVIC,MF,BSC Young Boys (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Samed BAZDAR,FW,Jagiellonia Białystok (POL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Mladen JURKAS,GK,FK Borac Banja Luka (BIH),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Ivan BASIC,MF,FC Astana (KAZ),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Ivan SUNJIC,MF,Pafos FC (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Amar MEMIC,MF,FC Viktoria Plzeň (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Amir HADZIAHMETOVIC,MF,Hull City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Dzenis BURNIC,MF,Karlsruher SC (GER),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Nikola KATIC,DF,FC Schalke 04 (GER),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Kerim ALAJBEGOVIC,FW,FC Red Bull Salzburg (AUT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Esmir BAJRAKTAREVIC,FW,PSV Eindhoven (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Stjepan RADELJIC,DF,HNK Rijeka (CRO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Martin ZLOMISLIC,GK,HNK Rijeka (CRO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Jovo LUKIC,FW,Universitatea Cluj (ROU),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Bosnia and Herzegovina,BIH,B,Ermin MAHMIC,MF,FC Slovan Liberec (CZE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Alex ALEX SANDRO,DF,CR Flamengo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Neymar NEYMAR JR,FW,Santos FC (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Weverton WEVERTON,GK,Grêmio FBPA (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Danilo DANILO,DF,CR Flamengo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Leonardo LEO PEREIRA,DF,CR Flamengo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Douglas DOUGLAS SANTOS,DF,FC Zenit St. Petersburg (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Fabio FABINHO,MF,Al Ittihad (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Danilo DANILO SANTOS,MF,Botafogo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Luiz LUIZ HENRIQUE,FW,FC Zenit St. Petersburg (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Brazil,BRA,C,Roger ROGER IBANEZ,DF,Al Ahli FC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Josimar VOZINHA,GK,GD Chaves (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Ianique STOPIRA,DF,SCU Torreense (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Edilson DINEY BORGES,DF,Al Bataeh Club (UAE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Roberto PICO LOPES,DF,Shamrock Rovers FC (IRL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Kevin KEVIN PINA,MF,FC Krasnodar (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Jovane JOVANE CABRAL,MF,CF Estrela Da Amadora (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,João JOAO PAULO,MF,FC FCSB (ROU),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Gilson GILSON BENCHIMOL,FW,FC Akron Tolyatti (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Jamiro JAMIRO MONTEIRO,MF,PEC Zwolle (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Garry GARRY RODRIGUES,MF,Apollon Limassol (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Márcio MARCIO ROSA,GK,PFC Montana (BUL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Sidny SIDNY LOPES CABRAL,DF,SL Ben ca (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Deroy DEROY DUARTE,MF,PFC Ludogorets Razgrad (BUL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Laros LAROS DUARTE,MF,Puskás Akadémia FC (HUN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Jair YANNICK SEMEDO,MF,SC Farense (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Willy WILLY SEMEDO,MF,AC Omonia (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Telmo TELMO ARCANJO,MF,Vitória SC (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Dailon DAILON LIVRAMENTO,FW,Casa Pia AC (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Ryan RYAN MENDES,FW,Iğdır FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Nuno NUNO DA COSTA,MF,Başakşehir FK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Steven STEVEN MOREIRA,DF,Columbus Crew (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Carlos CJ DOS SANTOS,GK,San Diego FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Wagner WAGNER PINA,DF,Trabzonspor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Kelvin KELVIN PIRES,DF,SJK (FIN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Cape Verde,CPV,H,Hélio HELIO VARELA,MF,Maccabi Tel-Aviv FC (ISR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Dayne ST. CLAIR,GK,Inter Miami CF (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Alistair JOHNSTON,DF,Celtic FC (SCO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Al JONES,DF,Middlesbrough FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Luc DE FOUGEROLLES,DF,FCV Dender EH (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Joel WATERMAN,DF,Chicago Fire FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Mathieu CHOINIERE,MF,LAFC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Stephen EUSTAQUIO,MF,LAFC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Cyle LARIN,FW,Southampton FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Liam MILLAR,MF,Hull City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Jacob SHAFFELBURG,MF,LAFC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Maxime CREPEAU,GK,Orlando City SC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Owen GOODMAN,GK,Barnsley (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Ali AHMED,FW,Norwich City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Jonathan OSORIO,MF,Toronto FC (CAN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Richie LARYEA,DF,Toronto FC (CAN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Niko SIGUR,DF,HNK Hajduk Split (CRO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Promise DAVID,FW,Royale Union Saint-Gilloise (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Nathan SALIBA,MF,RSC Anderlecht (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Canada,CAN,B,Marcelo FLORES,MF,Tigres UANL (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,David OSPINA,GK,Atlético Nacional (COL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Santiago ARIAS,DF,CA Independiente (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Kevin CASTANO,MF,CA River Plate (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Richard RIOS,MF,SL Ben ca (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Jorge CARRASCAL,MF,CR Flamengo (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Jhon CORDOBA,FW,FC Krasnodar (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,James RODRIGUEZ,MF,Minnesota United FC (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Camilo VARGAS,GK,Atlas FC (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Gustavo PUERTA,DF,Racing Santander (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Juan PORTILLA,MF,Athletico Paranaense (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Willer DITTA,DF,CF Cruz Azul (MEX),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Juan QUINTERO,MF,CA River Plate (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Leandro CAMPAZ,FW,CA Rosario Central (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Davinson SANCHEZ,DF,Galatasaray SK (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Alvaro MONTERO,GK,CA Vélez Sars eld (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Luis SUAREZ,FW,Sporting CP (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Colombia,COL,K,Andres GOMEZ,FW,CR Vasco Da Gama (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Steve KAPUADI,DF,Widzew Łódź (POL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Dylan BATUBINSIKA,DF,AEL FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Nathanael MBUKU,MF,Montpellier HSC (FRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Samuel MOUTOUSSAMY,MF,Atromitos FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Brian CIPENGA,FW,CD Castellón (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Theo BONGONDA,MF,FC Spartak Moscow (RUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Gael KAKUTA,FW,AEL FC (GRE),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Joris KAYEMBE,DF,KRC Genk (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Meschack ELIA,FW,Alanyaspor (TUR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Aaron TSHIBOLA,MF,Kilmarnock FC (SCO),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Timothy FAYULU,GK,FC Noah (ARM),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
DR Congo,COD,K,Fiston MAYELE,FW,Pyramids FC (EGY),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
