club_country_code,target_league,missing_players,top_clubs,recommended_sources,automation_status,last_verified,notes
CZE,Czech First League,21,Slavia Praha | Sparta Praha | Viktoria Plzen | Hradec Kralove,FootyStats (per-player),resolved_20_of_21,2026-06-16,"Second-wave missing-fill via FootyStats Czech First League 2025/26 (full xG). 20/21; not found: Hugo Sochurek (Sparta, no player page)."
SCO,Scottish Premiership,19,Celtic | Rangers | Hibernian | Hearts | Aberdeen,FootyStats (per-player),resolved_18_of_19,2026-06-16,"Second-wave missing-fill via FootyStats Scottish Premiership 2025/26 (full xG). 18/19; not found: Liam Kelly (no 25/26 league totals)."
ARG,Argentine Primera,14,Velez Sarsfield | Huracan | Independiente | San Lorenzo | River Plate,FootyStats (per-player),resolved_14_of_14,2026-06-16,"Second-wave missing-fill via FootyStats Argentine Primera 2026 (full xG). 14/14 matched."
DEN,Danish Superliga,13,FC Copenhagen | Brondby | Midtjylland | Nordsjaelland,FootyStats (per-player),resolved_13_of_13,2026-06-16,"Second-wave missing-fill via FootyStats Danish Superliga 2025/26 (full xG). 13/13 matched."
GRE,Greek Super League,10,Olympiacos | PAOK | AEK Athens | Panathinaikos | Atromitos,FootyStats (per-player),resolved_9_of_10,2026-06-16,"Second-wave missing-fill via FootyStats Greek Super League 2025/26 (full xG). 9/10; not found: Samuel Moutoussamy (FootyStats lists Sivasspor)."
NOR,Norwegian Eliteserien,7,Bodo/Glimt | Brann | Rosenborg | Lillestrom,FootyStats (per-player),resolved_7_of_7,2026-06-16,"Second-wave missing-fill via FootyStats Eliteserien 2026 (full xG). 7/7 matched."
AUT,Austrian Bundesliga,6,RB Salzburg | Sturm Graz | Rapid Wien | Austria Wien,FootyStats (per-player),resolved_6_of_6,2026-06-16,"Second-wave missing-fill via FootyStats Austrian Bundesliga 2025/26 (full xG). 6/6 matched."
SUI,Swiss Super League,11,Young Boys | Basel | Servette | Lugano | Lausanne,FootyStats (per-player),resolved_6_of_11,2026-06-16,"Second-wave missing-fill via FootyStats Swiss Super League 2025/26 (full xG). 6/11; 5 not found (Challenge League / no player page)."
EGY,Egyptian Premier League,20,Al Ahly | Zamalek | Pyramids | ZED FC,FootyStats (per-player),partial_7_of_20,2026-06-16,"Light try via FootyStats; xG sparse. 7/20 (all with xG); rest have no FootyStats player page. Low ROI as expected."
RSA,South Africa PSL,19,Mamelodi Sundowns | Orlando Pirates | Kaizer Chiefs,FootyStats (per-player),partial_6_of_19,2026-06-16,"Light try via FootyStats; xG sparse. 6/19 (5 xG + 1 basic); rest no player page. Low ROI as expected."
UZB,Uzbekistan Super League,16,Pakhtakor | Nasaf | AGMK | Bunyodkor,FootyStats (per-player),partial_3_of_16,2026-06-16,"Light try via FootyStats; coverage thin. 3/16; rest no player page. Low ROI as expected."
UAE,UAE Pro League,15,Al Ain | Shabab Al Ahli | Al Nasr | Al Wahda,FootyStats (per-player),partial_2_of_15,2026-06-16,"Light try via FootyStats; coverage thin. 2/15; rest no player page. Low ROI as expected."
IRQ,Iraq Stars League,15,Al Shorta | Al Zawraa | Al Talaba | Al Quwa Al Jawiya,FootyStats (per-player),partial_1_of_15,2026-06-16,"Light try via FootyStats; almost no public data. 1/15 (basic only, no xG). Low ROI as expected."
JOR,Jordanian Pro League,11,Al Hussein | Al Faisaly | Al Wahdat,FootyStats (per-player),partial_0_of_11,2026-06-16,"Light try via FootyStats; no FootyStats player pages found for any. 0/11. Not automatable here."
