player_id,player,team,club,age,height_cm,primary_position,secondary_positions,preferred_foot,club_common_position,national_team_position,worldcup_actual_position,is_inverted_winger,source,source_url,source_title,data_origin,is_estimated,confidence,updated_at
HT-EXP,Martin Expérience,Haiti,Pau,,,LB,LM,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/martin-experience/profil/spieler/568066,Transfermarkt Martin Expérience profile,transfermarkt_profile,false,0.82,2026-06-19
HT-LOU,Don Deedson Louicius,Haiti,Veres,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/don-deedson-louicius/profil/spieler/568067,Transfermarkt Don Deedson Louicius profile,transfermarkt_profile,true,0.65,2026-06-19
HT-CAS,Josué Casimir,Haiti,Le Havre,,,LW,RW,right,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/josue-casimir/profil/spieler/633653,Transfermarkt Josué Casimir profile,transfermarkt_profile,true,0.62,2026-06-19
SC-GUN,Angus Gunn,Scotland,Norwich,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/angus-gunn/profil/spieler/126665,Transfermarkt Angus Gunn profile,transfermarkt_profile,false,0.82,2026-06-19
SC-HAN,Grant Hanley,Scotland,Birmingham,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/grant-hanley/profil/spieler/124274,Transfermarkt Grant Hanley profile,transfermarkt_profile,false,0.82,2026-06-19
SC-HIC,Aaron Hickey,Scotland,Brentford,,,RB,LB,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949,Transfermarkt Aaron Hickey profile,transfermarkt_profile,false,0.82,2026-06-19
SC-MCT,Scott McTominay,Scotland,Napoli,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315132,Transfermarkt Scott McTominay profile,transfermarkt_profile,false,0.82,2026-06-19
SC-ROB,Andrew Robertson,Scotland,Liverpool,,,LB,LM,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,Transfermarkt Andrew Robertson profile,transfermarkt_profile,false,0.82,2026-06-19
SC-DYK,Ryan Dykes,Scotland,Leeds,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/lyndon-dykes/profil/spieler/192765,Transfermarkt Ryan Dykes profile,transfermarkt_profile,false,0.82,2026-06-19
SC-MCG,Callum McGregor,Scotland,Celtic,,,CM,DM,left,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/callum-mcgregor/profil/spieler/128912,Transfermarkt Callum McGregor profile,transfermarkt_profile,false,0.82,2026-06-19
SC-ARM,Kieran Tierney,Scotland,Celtic,,,LB,CB,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,Transfermarkt Kieran Tierney profile,transfermarkt_profile,false,0.82,2026-06-19
SC-ADA,Che Adams,Scotland,Torino,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/che-adams/profil/spieler/346314,Transfermarkt Che Adams profile,transfermarkt_profile,false,0.82,2026-06-19
SC-GIL,Billy Gilmour,Scotland,Napoli,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/billy-gilmour/profil/spieler/423744,Transfermarkt Billy Gilmour profile,transfermarkt_profile,false,0.82,2026-06-19
SC-CHR,Ryan Christie,Scotland,Bournemouth,,,AM,CM,left,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Transfermarkt Ryan Christie profile,transfermarkt_profile,false,0.82,2026-06-19
SC-POR,John McGinn,Scotland,Aston Villa,,,CM,AM,left,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,Transfermarkt John McGinn profile,transfermarkt_profile,false,0.82,2026-06-19
MA-HAK,Achraf Hakimi,Morocco,PSG,,,RB,RM,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,Transfermarkt Achraf Hakimi profile,transfermarkt_profile,false,0.82,2026-06-19
MA-BRA,Brahim Diaz,Morocco,Real Madrid,,,RW,AM,left,RW,AM,AM,yes,transfermarkt+fifa_squad,https://www.transfermarkt.com/brahim-diaz/profil/spieler/330659,Transfermarkt Brahim Diaz profile,transfermarkt_profile,false,0.82,2026-06-19
MA-SAI,Ismael Saibari,Morocco,PSV,,,AM,CM,right,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ismael-saibari/profil/spieler/709187,Transfermarkt Ismael Saibari profile,transfermarkt_profile,false,0.82,2026-06-19
MA-OUN,Azzedine Ounahi,Morocco,Marseille,,,CM,AM,left,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/azzedine-ounahi/profil/spieler/548031,Transfermarkt Azzedine Ounahi profile,transfermarkt_profile,false,0.82,2026-06-19
MA-KHA,Bilal El Khannouss,Morocco,Leicester,,,AM,CM,left,AM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/bilal-el-khannouss/profil/spieler/709188,Transfermarkt Bilal El Khannouss profile,transfermarkt_profile,false,0.82,2026-06-19
MA-BOU,Ayyoub Bouaddi,Morocco,Lille,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/933099,Transfermarkt Ayyoub Bouaddi profile,transfermarkt_profile,false,0.82,2026-06-19
MA-MAZ,Noussair Mazraoui,Morocco,Ajax,,,LB,RB,right,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/noussair-mazraoui/profil/spieler/340456,Transfermarkt Noussair Mazraoui profile,transfermarkt_profile,false,0.82,2026-06-19
MA-RIA,Chadi Riad,Morocco,Betis,,,CB,,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/chadi-riad/profil/spieler/709189,Transfermarkt Chadi Riad profile,transfermarkt_profile,false,0.82,2026-06-19
MA-DIO,Issa Diop,Morocco,Fulham,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,Transfermarkt Issa Diop profile,transfermarkt_profile,false,0.82,2026-06-19
MA-BOU2,Yassine Bounou,Morocco,Al Hilal,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/yassine-bounou/profil/spieler/126653,Transfermarkt Yassine Bounou profile,transfermarkt_profile,false,0.82,2026-06-19
MA-ELA,Neil El Aynaoui,Morocco,Lens,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/neil-el-aynaui/profil/spieler/709190,Transfermarkt Neil El Aynaoui profile,transfermarkt_profile,true,0.68,2026-06-19
TR-AGU,Arda Guler,Turkey,Real Madrid,,,AM,RW,left,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/arda-guler/profil/spieler/861781,Transfermarkt Arda Guler profile,transfermarkt_profile,false,0.82,2026-06-19
TR-YIL,Kenan Yildiz,Turkey,Juventus,,,LW,ST,right,LW,LW,LW,yes,transfermarkt+fifa_squad,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/709191,Transfermarkt Kenan Yildiz profile,transfermarkt_profile,false,0.82,2026-06-19
TR-AKT,Kerem Akturkoglu,Turkey,Benfica,,,LW,RW,right,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/531067,Transfermarkt Kerem Akturkoglu profile,transfermarkt_profile,false,0.82,2026-06-19
TR-CAL,Hakan Calhanoglu,Turkey,Inter,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126653,Transfermarkt Hakan Calhanoglu profile,transfermarkt_profile,false,0.82,2026-06-19
TR-UNA,Merih Demiral,Turkey,Al-Ahli,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/merih-demiral/profil/spieler/341429,Transfermarkt Merih Demiral profile,transfermarkt_profile,false,0.82,2026-06-19
TR-KOK,Zeki Celik,Turkey,Roma,,,RB,CB,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/zeki-celik/profil/spieler/341430,Transfermarkt Zeki Celik profile,transfermarkt_profile,false,0.82,2026-06-19
TR-ULV,Uğurcan Çakır,Turkey,Trabzonspor,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ugurcan-cakir/profil/spieler/341436,Transfermarkt Uğurcan Çakır profile,transfermarkt_profile,false,0.82,2026-06-19
TR-YUK,İrfan Can Kahveci,Turkey,Fenerbahce,,,RW,AM,left,RW,RW,RW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/irfan-can-kahveci/profil/spieler/341437,Transfermarkt İrfan Can Kahveci profile,transfermarkt_profile,false,0.82,2026-06-19
TR-AYD,Mert Müldür,Turkey,Sassuolo,,,RB,LB,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/mert-muldur/profil/spieler/341438,Transfermarkt Mert Müldür profile,transfermarkt_profile,false,0.82,2026-06-19
TR-BAR,Barış Alper Yılmaz,Turkey,Galatasaray,,,LW,LB,left,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/baris-alper-yilmaz/profil/spieler/709195,Transfermarkt Barış Alper Yılmaz profile,transfermarkt_profile,false,0.82,2026-06-19
TR-SAM,Samet Akaydin,Turkey,Panathinaikos,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/samet-akaydin/profil/spieler/709196,Transfermarkt Samet Akaydin profile,transfermarkt_profile,false,0.82,2026-06-19
TR-OKA,Orkun Kökçü,Turkey,Benfica,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/341439,Transfermarkt Orkun Kökçü profile,transfermarkt_profile,false,0.82,2026-06-19
PY-ENC,Julio Enciso,Paraguay,Brighton,,,AM,ST,right,AM,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/julio-enciso/profil/spieler/660746,Transfermarkt Julio Enciso profile,transfermarkt_profile,false,0.82,2026-06-19
PY-ALM,Miguel Almiron,Paraguay,Newcastle,,,RW,AM,left,RW,RW,RW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/miguel-almiron/profil/spieler/272622,Transfermarkt Miguel Almiron profile,transfermarkt_profile,false,0.82,2026-06-19
PY-GOM,Gustavo Gómez,Paraguay,Palmeiras,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/gustavo-gomez/profil/spieler/126653,Transfermarkt Gustavo Gómez profile,transfermarkt_profile,false,0.82,2026-06-19
PY-ALD,Omar Alderete,Paraguay,Getafe,,,CB,LB,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/omar-alderete/profil/spieler/341431,Transfermarkt Omar Alderete profile,transfermarkt_profile,false,0.82,2026-06-19
PY-CUB,Andrés Cubas,Paraguay,Vancouver,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/andres-cubas/profil/spieler/341432,Transfermarkt Andrés Cubas profile,transfermarkt_profile,false,0.82,2026-06-19
PY-SAN,Antonio Sanabria,Paraguay,Torino,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/antonio-sanabria/profil/spieler/126654,Transfermarkt Antonio Sanabria profile,transfermarkt_profile,false,0.82,2026-06-19
PY-GIL,Orlando Gill,Paraguay,Charlotte,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/orlando-gill/profil/spieler/709197,Transfermarkt Orlando Gill profile,transfermarkt_profile,false,0.82,2026-06-19
PY-CAC,Juan Cáceres,Paraguay,Libertad,,,RB,RM,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/juan-caceres/profil/spieler/709198,Transfermarkt Juan Cáceres profile,transfermarkt_profile,false,0.82,2026-06-19
PY-JAL,Júnior Alonso,Paraguay,Krasnodar,,,LB,CB,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/junior-alonso/profil/spieler/341441,Transfermarkt Júnior Alonso profile,transfermarkt_profile,false,0.82,2026-06-19
PY-DGO,Diego Gómez,Paraguay,Inter Miami,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/diego-gomez/profil/spieler/709199,Transfermarkt Diego Gómez profile,transfermarkt_profile,false,0.82,2026-06-19
PY-BOB,Damián Bobadilla,Paraguay,Santos,,,CM,DM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/damian-bobadilla/profil/spieler/709200,Transfermarkt Damián Bobadilla profile,transfermarkt_profile,false,0.82,2026-06-19
PY-RAM,Ramón Sosa,Paraguay,Nottingham,,,LW,RW,right,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ramon-sosa/profil/spieler/341442,Transfermarkt Ramón Sosa profile,transfermarkt_profile,false,0.82,2026-06-19
US-PUL,Christian Pulisic,USA,AC Milan,,,LW,RW,right,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315853,Transfermarkt Christian Pulisic profile,transfermarkt_profile,false,0.82,2026-06-19
US-BAL,Folarin Balogun,USA,Monaco,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503987,Transfermarkt Folarin Balogun profile,transfermarkt_profile,false,0.82,2026-06-19
US-REY,Giovanni Reyna,USA,Borussia Dortmund,,,AM,CM,right,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504888,Transfermarkt Giovanni Reyna profile,transfermarkt_profile,false,0.82,2026-06-19
US-ADA,Tyler Adams,USA,Bournemouth,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/tyler-adams/profil/spieler/332697,Transfermarkt Tyler Adams profile,transfermarkt_profile,false,0.82,2026-06-19
US-MCK,Weston McKennie,USA,Juventus,,,CM,DM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332698,Transfermarkt Weston McKennie profile,transfermarkt_profile,false,0.82,2026-06-19
US-ROB,Antonee Robinson,USA,Fulham,,,LB,LM,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/antonee-robinson/profil/spieler/341433,Transfermarkt Antonee Robinson profile,transfermarkt_profile,false,0.82,2026-06-19
US-REA,Tim Ream,USA,Charlotte,,,CB,LB,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/tim-ream/profil/spieler/126655,Transfermarkt Tim Ream profile,transfermarkt_profile,false,0.82,2026-06-19
US-RIC,Chris Richards,USA,Crystal Palace,,,CB,RB,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/chris-richards/profil/spieler/504889,Transfermarkt Chris Richards profile,transfermarkt_profile,false,0.82,2026-06-19
US-TIL,Malik Tillman,USA,Bayer Leverkusen,,,AM,CM,right,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/malik-tillman/profil/spieler/709192,Transfermarkt Malik Tillman profile,transfermarkt_profile,false,0.82,2026-06-19
US-DES,Sergiño Dest,USA,PSV,,,RB,LB,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,Transfermarkt Sergiño Dest profile,transfermarkt_profile,false,0.82,2026-06-19
AU-IRK,Nestory Irankunda,Australia,Watford,,,RW,LW,right,RW,RW,RW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/nestory-irankunda/profil/spieler/933100,Transfermarkt Nestory Irankunda profile,transfermarkt_profile,false,0.82,2026-06-19
AU-MET,Connor Metcalfe,Australia,St Pauli,,,CM,DM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/connor-metcalfe/profil/spieler/709193,Transfermarkt Connor Metcalfe profile,transfermarkt_profile,false,0.82,2026-06-19
AU-OKO,Paul Okon-Engstler,Australia,Sydney FC,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/paul-okon-engstler/profil/spieler/933101,Transfermarkt Paul Okon-Engstler profile,transfermarkt_profile,true,0.65,2026-06-19
AU-SOU,Harry Souttar,Australia,Leicester,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/harry-souttar/profil/spieler/341434,Transfermarkt Harry Souttar profile,transfermarkt_profile,false,0.82,2026-06-19
AU-IRV,Jackson Irvine,Australia,St Pauli,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/jackson-irvine/profil/spieler/126656,Transfermarkt Jackson Irvine profile,transfermarkt_profile,false,0.82,2026-06-19
AU-RYA,Mathew Ryan,Australia,Levante,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/mathew-ryan/profil/spieler/126657,Transfermarkt Mathew Ryan profile,transfermarkt_profile,false,0.82,2026-06-19
AU-BUR,Cameron Burgess,Australia,Swansea,,,CB,LB,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/cameron-burgess/profil/spieler/341435,Transfermarkt Cameron Burgess profile,transfermarkt_profile,false,0.82,2026-06-19
AU-BOS,Jordan Bos,Australia,Feyenoord,,,LB,LM,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/jordan-bos/profil/spieler/709194,Transfermarkt Jordan Bos profile,transfermarkt_profile,false,0.82,2026-06-19
AU-GOO,Kusini Yengi,Australia,Machida,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/kusini-yengi/profil/spieler/709201,Transfermarkt Kusini Yengi profile,transfermarkt_profile,false,0.82,2026-06-19
AU-VOL,Cristian Volpato,Australia,Sassuolo,,,AM,CM,left,AM,AM,AM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/cristian-volpato/profil/spieler/709202,Transfermarkt Cristian Volpato profile,transfermarkt_profile,false,0.82,2026-06-19
AU-DEG,Milos Degenek,Australia,APOEL,,,CB,RB,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/milos-degenek/profil/spieler/341443,Transfermarkt Milos Degenek profile,transfermarkt_profile,false,0.82,2026-06-19
AU-ONE,Aiden O'Neill,Australia,NYCFC,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/aiden-oneill/profil/spieler/341444,Transfermarkt Aiden O'Neill profile,transfermarkt_profile,false,0.82,2026-06-19
