group,team_en,round,match_date,opponent,yellow_cards,second_yellow_reds,direct_reds,fair_play_points,provisional_rank_within_group_after_r1,still_tied_with,next_tiebreaker_if_needed,source,source_url,last_verified
F,Sweden,1,2026-06-15,Tunisia,0,0,0,0,1,,,"Wikipedia 2026 FIFA World Cup Group F discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F",2026-06-18
F,Japan,1,2026-06-15,Netherlands,0,0,0,0,2,,,"Wikipedia 2026 FIFA World Cup Group F discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F",2026-06-18
F,Netherlands,1,2026-06-15,Japan,3,0,0,-3,3,,,"Wikipedia 2026 FIFA World Cup Group F discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F",2026-06-18
F,Tunisia,1,2026-06-15,Sweden,1,0,0,-1,4,,,"Wikipedia 2026 FIFA World Cup Group F discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_F",2026-06-18
G,New Zealand,1,2026-06-16,Iran,0,0,0,0,1,,,"Wikipedia 2026 FIFA World Cup Group G discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G",2026-06-18
G,Iran,1,2026-06-16,New Zealand,1,0,0,-1,2,,,"Wikipedia 2026 FIFA World Cup Group G discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G",2026-06-18
G,Belgium,1,2026-06-16,Egypt,2,0,0,-2,3,Egypt,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group G discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G",2026-06-18
G,Egypt,1,2026-06-16,Belgium,2,0,0,-2,4,Belgium,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group G discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_G",2026-06-18
H,Uruguay,1,2026-06-16,Saudi Arabia,0,0,0,0,1,,,"Wikipedia 2026 FIFA World Cup Group H discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H",2026-06-18
H,Saudi Arabia,1,2026-06-16,Uruguay,1,0,0,-1,2,Spain;Cape Verde,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group H discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H",2026-06-18
H,Spain,1,2026-06-16,Cape Verde,1,0,0,-1,3,Saudi Arabia;Cape Verde,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group H discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H",2026-06-18
H,Cape Verde,1,2026-06-16,Spain,1,0,0,-1,4,Saudi Arabia;Spain,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group H discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_H",2026-06-18
I,France,1,2026-06-16,Senegal,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
I,Norway,1,2026-06-16,Iraq,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
I,Senegal,1,2026-06-16,France,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
I,Iraq,1,2026-06-16,Norway,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
J,Argentina,1,2026-06-17,Algeria,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
J,Austria,1,2026-06-17,Jordan,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
J,Jordan,1,2026-06-17,Austria,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
J,Algeria,1,2026-06-17,Argentina,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
K,Colombia,1,2026-06-18,Uzbekistan,1,0,0,-1,1,,,"Wikipedia 2026 FIFA World Cup Group K discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K",2026-06-18
K,DR Congo,1,2026-06-18,Portugal,1,0,0,-1,2,,,"Wikipedia 2026 FIFA World Cup Group K discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K",2026-06-18
K,Portugal,1,2026-06-18,DR Congo,3,0,0,-3,3,,,"Wikipedia 2026 FIFA World Cup Group K discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K",2026-06-18
K,Uzbekistan,1,2026-06-18,Colombia,1,0,0,-1,4,,,"Wikipedia 2026 FIFA World Cup Group K discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_K",2026-06-18
L,England,1,2026-06-18,Croatia,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
L,Ghana,1,2026-06-18,Panama,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
L,Panama,1,2026-06-18,Ghana,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
L,Croatia,1,2026-06-18,England,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
