match_id,home,away,home_breakthrough_score,away_breakthrough_score,home_control_score,away_control_score,home_transition_edge,away_transition_edge,home_set_piece_edge,away_set_piece_edge,home_flank_edge,away_flank_edge,home_central_edge,away_central_edge,home_press_trap_edge,away_press_trap_edge,home_shape_countered_by_away,away_shape_countered_by_home,matchup_imbalance_index,likely_breakthrough_path_home,likely_breakthrough_path_away,likely_defensive_survival_path_home,likely_defensive_survival_path_away,data_confidence
WC2026-H38,Spain,Saudi Arabia,0.919557,-0.864557,0.853166,-0.731993,0.924895,-0.871067,0.685417,-0.590814,0.548493,-0.727737,1.552713,-1.287709,1.925698,0.06468,no,yes,2.698112,边路宽度/套边制造入口；中路/肋部推进；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-G39,Belgium,Iran,0.066132,-0.074545,0.039859,-0.056836,0.042104,0.126362,0.05212,-0.002289,-0.084803,-0.139213,0.201714,-0.092683,1.071558,0.083836,no,no,0.191372,无明显单点破阵路径,无明显单点破阵路径,可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-G40,New Zealand,Egypt,0.102803,0.108225,-0.129598,-0.15662,0.188444,0.33242,0.125686,0.249013,-0.011238,0.112089,0.187833,0.030292,0.179607,0.340025,no,no,0.043675,无明显单点破阵路径,边路宽度/套边制造入口,可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-I41,Norway,Senegal,0.297256,-0.279772,0.33267,-0.173689,0.208296,-0.255954,0.130675,-0.205983,-0.006248,-0.342907,0.647798,-0.327943,1.219237,0.090648,no,yes,0.847104,中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-I42,France,Iraq,0.440565,-0.652782,0.412595,-0.506117,0.526349,-0.745199,0.415077,-0.478594,0.278153,-0.615518,0.592564,-0.9095,0.606578,0.036849,no,yes,1.669206,边路宽度/套边制造入口；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-J43,Argentina,Austria,-0.384649,-0.305947,0.373727,0.46753,-0.44515,-0.83469,-0.321603,-0.513847,-0.458527,-0.650772,-0.417936,0.060034,0.03933,1.001262,no,no,0.189441,无明显单点破阵路径,中路/肋部推进,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
WC2026-J44,Jordan,Algeria,-0.303407,0.099837,-0.271248,0.048067,0.001534,0.00824,-0.085715,0.096669,-0.222639,-0.040254,-0.593797,0.200299,0.022099,1.099225,no,no,0.516346,无明显单点破阵路径,无明显单点破阵路径,可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-L45,England,Ghana,-0.233201,-0.494636,0.24043,0.014796,-0.48595,-0.396729,-0.222986,-0.276148,-0.359909,-0.413072,-0.162972,-0.782822,0.004354,0.12836,no,no,0.358251,无明显单点破阵路径,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
WC2026-L46,Panama,Croatia,1.123504,-0.164675,0.270968,-0.836614,1.611627,-0.140902,1.007908,-0.14103,0.870985,-0.277954,1.513969,-0.159655,2.551978,0.015835,no,yes,2.026338,边路宽度/套边制造入口；中路/肋部推进；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-K47,Portugal,Uzbekistan,0.568863,-0.494819,0.651311,-0.338107,0.22316,-0.47239,0.217502,-0.290656,0.080578,-0.42758,1.264404,-0.774422,0.276194,0,no,yes,1.549089,边路宽度/套边制造入口；中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-K48,Colombia,DR Congo,-0.220237,-0.598285,0.315299,-0.065406,-0.82435,-0.224371,-0.401628,-0.192039,-0.538552,-0.328963,0.120123,-1.206627,1,0.035002,no,no,0.63129,中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
