team,period,matches,formation_base,possession_pct,ppda,high_turnovers90,direct_attacks90,fast_breaks90,passes_per_sequence,field_tilt_pct,deep_completions90,box_entries90,crosses90,cutbacks90,set_piece_xg90,xg90,xga90,shots90,shots_against90,source,source_url,source_title,updated_at,confidence,is_estimated
Turkey,WC2026-R1,1,4-2-3-1,72,8.0,,,,,72,,,,,,1.36,1.18,30,9,FotMob/Opta,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,Turkey vs Australia R1,2026-06-19,0.88,false
Germany,WC2026-R1,1,4-2-3-1,65,10.5,,,,,65,,,,,,4.22,0.41,26,8,FotMob/Opta,https://www.fotmob.com/en-GB/matches/germany-vs-curacao/k77fsyu,Germany WC2026 R1 tactical profile,2026-06-18,0.76,true
Curacao,WC2026-R1,1,4-4-2,35,14.5,,,,,35,,,,,,0.41,4.22,8,26,FotMob/Opta,https://www.fotmob.com/en-GB/matches/germany-vs-curacao/k77fsyu,Curacao WC2026 R1 tactical profile,2026-06-18,0.76,true
Ivory Coast,WC2026-R1,1,4-3-3,48,12,,,,,48,,,,,,1.52,1.01,15,12,FotMob/Opta,https://www.fotmob.com/en-GB/matches/ecuador-vs-ivory-coast/1hl6kp,Ivory Coast WC2026 R1 tactical profile,2026-06-18,0.76,true
Ecuador,WC2026-R1,1,5-3-2,52,10.5,,,,,52,,,,,,1.01,1.52,12,15,FotMob/Opta,https://www.fotmob.com/en-GB/matches/ecuador-vs-ivory-coast/1hl6kp,Ecuador WC2026 R1 tactical profile,2026-06-18,0.76,true
Netherlands,WC2026-R1,1,4-3-3,60,11,,,,,60,,,,,,0.78,0.59,10,10,FotMob/Opta,https://www.fotmob.com/en-GB/matches/netherlands-vs-japan/1hn72b,Netherlands WC2026 R1 tactical profile,2026-06-18,0.76,true
Japan,WC2026-R1,1,4-2-3-1,40,13,,,,,40,,,,,,0.59,0.78,10,10,FotMob/Opta,https://www.fotmob.com/en-GB/matches/netherlands-vs-japan/1hn72b,Japan WC2026 R1 tactical profile,2026-06-18,0.76,true
Sweden,WC2026-R1,1,4-2-3-1,49,12.5,,,,,49,,,,,,1.33,0.28,13,6,FotMob/Opta,https://www.fotmob.com/en-GB/matches/tunisia-vs-sweden/1x5290,Sweden WC2026 R1 tactical profile,2026-06-18,0.76,true
Tunisia,WC2026-R1,1,4-5-1,51,12.5,,,,,51,,,,,,0.28,1.33,6,13,FotMob/Opta,https://www.fotmob.com/en-GB/matches/tunisia-vs-sweden/1x5290,Tunisia WC2026 R1 tactical profile,2026-06-18,0.76,true
Belgium,WC2026-R1,1,4-2-3-1,54,9.5,,,,,54,,,,,,1.35,1.08,15,14,FotMob/Opta,https://www.fotmob.com/en-GB/matches/belgium-vs-egypt/2u3bhg,Belgium WC2026 R1 tactical profile,2026-06-18,0.76,true
Egypt,WC2026-R1,1,4-2-3-1,46,12,,,,,46,,,,,,1.08,1.35,14,15,FotMob/Opta,https://www.fotmob.com/en-GB/matches/belgium-vs-egypt/2u3bhg,Egypt WC2026 R1 tactical profile,2026-06-18,0.76,true
Iran,WC2026-R1,1,4-4-2,48,12.5,,,,,48,,,,,,1.50,1.24,17,14,FotMob/Opta,https://www.fotmob.com/en-GB/matches/new-zealand-vs-iran/1ar30l,Iran WC2026 R1 tactical profile,2026-06-18,0.76,true
New Zealand,WC2026-R1,1,5-3-2,52,12.9,,,,,52,,,,,,1.24,1.50,14,17,Yahoo Sports/Opta,https://sports.yahoo.com/soccer/breaking-news/article/iran-new-zealand-play-to-2-2-draw-to-keep-group-g-tied-up-with-1-point-apiece-030629071.html,New Zealand WC2026 R1 tactical profile,2026-06-18,0.76,true
Spain,WC2026-R1,1,4-3-3,74,10.5,,,,,74,,,,,,2.10,0.20,27,6,Opta Analyst,https://theanalyst.com/articles/how-cape-verde-frustrated-spain-world-cup-history-draw-shock,Spain WC2026 R1 tactical profile,2026-06-18,0.76,true
Cape Verde,WC2026-R1,1,5-3-2,26,15,,,,,26,,,,,,0.20,2.10,6,27,Opta Analyst,https://theanalyst.com/articles/how-cape-verde-frustrated-spain-world-cup-history-draw-shock,Cape Verde WC2026 R1 tactical profile,2026-06-18,0.76,true
Saudi Arabia,WC2026-R1,1,4-2-3-1,33,14.5,,,,,33,,,,,,0.66,1.72,7,27,FotMob/Opta,https://www.fotmob.com/en-GB/matches/uruguay-vs-saudi-arabia/1izuvb,Saudi Arabia WC2026 R1 tactical profile,2026-06-18,0.76,true
Uruguay,WC2026-R1,1,3-3-1-3,67,10.5,,,,,67,,,,,,1.72,0.66,27,7,Opta Analyst,https://theanalyst.com/articles/saudi-arabia-vs-uruguay-stats-world-cup-2026,Uruguay WC2026 R1 tactical profile,2026-06-18,0.76,true
France,WC2026-R1,1,4-2-3-1,53,11.5,,,,,53,,,,,,1.79,0.53,11,6,FotMob/Opta,https://www.fotmob.com/en-GB/matches/senegal-vs-france/1f8fvo,France WC2026 R1 tactical profile,2026-06-18,0.76,true
Senegal,WC2026-R1,1,4-3-3,47,12,,,,,47,,,,,,0.53,1.79,6,11,FotMob/Opta,https://www.fotmob.com/en-GB/matches/senegal-vs-france/1f8fvo,Senegal WC2026 R1 tactical profile,2026-06-18,0.76,true
Iraq,WC2026-R1,1,4-2-3-1,39,14.5,,,,,39,,,,,,0.80,2.52,11,12,FotMob/Opta,https://www.fotmob.com/en-GB/matches/iraq-vs-norway/1oz68o,Iraq WC2026 R1 tactical profile,2026-06-18,0.76,true
Norway,WC2026-R1,1,4-3-3,61,10.5,,,,,61,,,,,,2.52,0.80,12,11,FotMob/Opta,https://www.fotmob.com/en-GB/matches/iraq-vs-norway/1oz68o,Norway WC2026 R1 tactical profile,2026-06-18,0.76,true
Argentina,WC2026-R1,1,4-3-3,48,12,,,,,48,,,,,,1.26,0.32,10,7,FotMob/Opta,https://www.fotmob.com/en-GB/matches/algeria-vs-argentina/1ehtqa,Argentina WC2026 R1 tactical profile,2026-06-18,0.76,true
Algeria,WC2026-R1,1,4-2-3-1,52,9.5,,,,,52,,,,,,0.32,1.26,7,10,FotMob/Opta,https://www.fotmob.com/en-GB/matches/algeria-vs-argentina/1ehtqa,Algeria WC2026 R1 tactical profile,2026-06-18,0.76,true
Austria,WC2026-R1,1,4-2-3-1,63,10.5,,,,,63,,,,,,1.69,0.46,11,11,FotMob/Opta,https://www.fotmob.com/en-GB/matches/jordan-vs-austria/1my603,Austria WC2026 R1 tactical profile,2026-06-18,0.76,true
Jordan,WC2026-R1,1,5-3-2,37,14.5,,,,,37,,,,,,0.46,1.69,11,11,FotMob/Opta,https://www.fotmob.com/en-GB/matches/jordan-vs-austria/1my603,Jordan WC2026 R1 tactical profile,2026-06-18,0.76,true
Portugal,WC2026-R1,1,4-3-3,75,12,,,,,75,,,,,,0.65,0.87,7,8,FotMob/Opta/Yahoo Sports,https://www.fotmob.com/en-GB/matches/dr-congo-vs-portugal/1s6g4o,Portugal WC2026 R1 tactical profile,2026-06-18,0.76,true
DR Congo,WC2026-R1,1,4-2-3-1,25,15,,,,,25,,,,,,0.87,0.65,8,7,FotMob/Opta,https://www.fotmob.com/en-GB/matches/dr-congo-vs-portugal/1s6g4o,DR Congo WC2026 R1 tactical profile,2026-06-18,0.76,true
Uzbekistan,WC2026-R1,1,4-2-3-1,38,14,,,,,38,,,,,,1.16,1.62,8,15,FotMob/Opta,https://www.fotmob.com/en-GB/matches/colombia-vs-uzbekistan/2dm7x9,Uzbekistan WC2026 R1 tactical profile,2026-06-18,0.76,true
Colombia,WC2026-R1,1,4-2-3-1,62,10.5,,,,,62,,,,,,1.62,1.16,15,8,FotMob/Opta,https://www.fotmob.com/en-GB/matches/colombia-vs-uzbekistan/2dm7x9,Colombia WC2026 R1 tactical profile,2026-06-18,0.76,true
England,WC2026-R1,1,3-4-2-1,52,11,,,,,52,,,,,,3.20,0.70,22,10,Opta Analyst,https://theanalyst.com/articles/england-vs-croatia-stats-world-cup-2026,England WC2026 R1 tactical profile,2026-06-18,0.76,true
Croatia,WC2026-R1,1,4-3-3,48,12,,,,,48,,,,,,0.70,3.20,10,22,Opta Analyst,https://theanalyst.com/articles/england-vs-croatia-stats-world-cup-2026,Croatia WC2026 R1 tactical profile,2026-06-18,0.76,true
Ghana,WC2026-R1,1,4-4-2,38,14,,,,,38,,,,,,1.31,0.75,8,11,FotMob/Opta,https://www.fotmob.com/en-GB/matches/panama-vs-ghana/1bjek0,Ghana WC2026 R1 tactical profile,2026-06-18,0.76,true
Panama,WC2026-R1,1,4-4-2,62,10.5,,,,,62,,,,,,0.75,1.31,11,8,FotMob/Opta,https://www.fotmob.com/en-GB/matches/panama-vs-ghana/1bjek0,Panama WC2026 R1 tactical profile,2026-06-18,0.76,true
